"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/31/2024","AQS","060251003","1","37.5","ppb","35","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/02/2024","AQS","060251003","1","4","ppb","4","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/03/2024","AQS","060251003","1","14.3","ppb","13","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/04/2024","AQS","060251003","1","14.7","ppb","13","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/05/2024","AQS","060251003","1","14","ppb","13","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/06/2024","AQS","060251003","1","10.7","ppb","9","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/07/2024","AQS","060251003","1","2.8","ppb","2","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/08/2024","AQS","060251003","1","10.1","ppb","9","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/09/2024","AQS","060251003","1","18.9","ppb","17","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/10/2024","AQS","060251003","1","6.6","ppb","6","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/11/2024","AQS","060251003","1","13.4","ppb","12","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/12/2024","AQS","060251003","1","27.5","ppb","25","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/13/2024","AQS","060251003","1","38.9","ppb","36","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/14/2024","AQS","060251003","1","35.4","ppb","33","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/15/2024","AQS","060251003","1","22.5","ppb","21","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/16/2024","AQS","060251003","1","35.3","ppb","33","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/17/2024","AQS","060251003","1","27","ppb","25","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/18/2024","AQS","060251003","1","21.7","ppb","20","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
"02/19/2024","AQS","060251003","1","21.1","ppb","20","El Centro-9th Street","23","96.0000","42602","Nitrogen dioxide (NO2)","099","20940","El Centro, CA","06","California","025","Imperial","32.79222","-115.56306"
